#SDSS_name	plate-mjd-fibre	RA	Dec.	zQSO	PSF_i	z	z_err	W_2796	W_2796_err	W_2803	W_2803_err	CIV_flag	SNR_con
154808.11-005436.8 00342-51691-0133 237.033810 -0.910230 2.614 19.641 1.625 0.898 1.690 0.195 0.811 0.219 0 5.492
154538.50-001019.7 00342-51691-0228 236.410450 -0.172160 1.788 19.136 1.625 0.869 1.382 0.195 0.546 0.160 0 10.490
154420.49+001824.3 00342-51691-0400 236.085370 0.306770 1.042 18.129 0.368 0.000 0.329 0.054 0.219 0.050 0 26.819
171127.49+641722.3 00350-51691-0222 257.864560 64.289550 0.798 19.024 0.632 0.454 1.055 0.109 1.067 0.123 0 15.549
170930.79+641002.9 00350-51691-0283 257.378330 64.167480 1.592 18.053 1.538 0.486 1.310 0.079 1.307 0.088 0 20.854
170714.49+651059.9 00350-51691-0387 256.810400 65.183330 2.110 18.664 1.966 0.604 2.227 0.202 1.964 0.192 0 16.944
171747.44+660334.8 00350-51691-0446 259.447700 66.059670 1.283 18.764 0.835 0.687 0.698 0.087 0.479 0.096 0 16.097
171048.44+652944.2 00350-51691-0466 257.701840 65.495640 0.603 18.992 0.376 0.315 0.670 0.104 0.328 0.092 0 14.197
171005.50+644842.9 00350-51691-0477 257.522950 64.811930 1.008 17.883 0.728 0.122 2.115 0.073 2.007 0.072 0 26.299
172314.14+654746.1 00350-51691-0604 260.808930 65.796160 1.441 16.909 0.799 0.472 0.398 0.066 0.339 0.062 0 31.199
130816.71-030310.7 00339-51692-0065 197.069660 -3.052990 1.428 18.160 1.295 0.000 0.528 0.075 0.525 0.080 0 21.032
130842.17-025820.0 00339-51692-0066 197.175750 -2.972230 1.878 18.775 1.182 0.000 1.079 0.114 0.685 0.131 0 13.182
130631.17-030953.8 00339-51692-0155 196.629910 -3.164970 1.725 18.364 1.674 0.000 1.040 0.123 0.573 0.117 0 18.796
130554.09-024657.4 00339-51692-0158 196.475420 -2.782620 2.037 18.773 1.648 0.000 2.553 0.201 1.790 0.168 0 14.269
130418.62-015113.6 00339-51692-0379 196.077620 -1.853800 1.345 18.681 0.642 0.755 1.299 0.171 0.533 0.141 0 12.065
130138.55-021547.6 00339-51692-0387 195.410610 -2.263220 1.964 17.772 0.582 0.297 0.405 0.060 0.333 0.066 1 25.394
130138.55-021547.6 00339-51692-0387 195.410610 -2.263220 1.964 17.772 1.235 0.890 0.489 0.064 0.365 0.069 0 25.394
130622.92-014540.7 00339-51692-0522 196.595500 -1.761310 2.158 18.757 1.333 0.547 1.962 0.106 1.538 0.105 0 13.869
130622.92-014540.7 00339-51692-0522 196.595500 -1.761310 2.158 18.757 1.387 0.000 1.156 0.128 0.732 0.115 0 13.869
130643.05-013552.6 00339-51692-0523 196.679410 -1.597960 2.936 18.667 1.468 0.683 1.268 0.081 1.186 0.087 0 15.470
130725.82-013804.1 00339-51692-0561 196.857600 -1.634470 2.199 18.914 1.431 0.000 1.949 0.157 1.061 0.152 0 12.667
130854.29-023613.2 00339-51692-0600 197.226230 -2.603690 0.930 19.051 0.371 0.536 0.952 0.128 0.719 0.150 0 15.224
130942.15-022652.3 00339-51692-0636 197.425640 -2.447870 2.581 18.683 1.110 0.608 1.185 0.130 1.263 0.129 0 13.459
130942.15-022652.3 00339-51692-0636 197.425640 -2.447870 2.581 18.683 1.657 0.733 1.485 0.136 1.760 0.172 0 13.459
155810.16-003120.0 00343-51692-0145 239.542340 -0.522220 2.822 17.361 1.078 0.186 1.339 0.073 1.019 0.072 1 27.477
155810.16-003120.0 00343-51692-0145 239.542340 -0.522220 2.822 17.361 1.632 0.000 0.420 0.056 0.402 0.067 0 27.477
